Outcome,Message,Identity,Delay,IPODescriptions IPOIdentifier,IPODescriptions Name,IPODescriptions Symbol,IPODescriptions Market,IPODescriptions MarketIdentificationCode,IPODescriptions Status,IPODescriptions FilingDate,IPODescriptions TradeDate,IPODescriptions EstimatedOfferDate,IPODescriptions OfferDate,IPODescriptions OfferLowPrice,IPODescriptions OfferHighPrice,IPODescriptions OfferSize,IPODescriptions OfferPrice,IPODescriptions OfferAmount,IPODescriptions Currency,IPODescriptions SmallMarketCap,IPODescriptions SpecialPurposeAcquisitionCompany
Success,,Request,48.2936147,11825,Amira Nature Foods,ANFI,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Priced,8/29/2012,10/10/2012,10/8/2012,10/9/2012,13,15,9000000,10,90000000,USD,False,False
Success,,Request,48.2936147,13168,Amphastar Pharmaceuticals,AMPH,NASDAQ,XNAS,Priced,5/20/2014,6/25/2014,6/23/2014,6/24/2014,10,12,8000000,7,56000000,USD,False,False
Success,,Request,48.2936147,18255,Amplify Snack Brands,BETR,"New York Stock Exchange, Inc.",XNYS,Priced,6/26/2015,8/5/2015,8/3/2015,8/4/2015,14,16,15000000,18,270000000,USD,False,False
Success,,Request,48.2936147,11027,AmREIT,AMRE,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Priced,7/19/2011,7/27/2012,7/23/2012,7/26/2012,14,16,3650000,14,51100000,USD,False,False
Success,,Request,48.2936147,24852,Anaplan,PLAN,"New York Stock Exchange, Inc.",XNYS,Priced,9/14/2018,10/12/2018,10/8/2018,10/11/2018,15,17,15500000,17,263500000,USD,False,False
Success,,Request,48.2936147,19427,AnaptysBio,ANAB,NASDAQ,XNAS,Priced,9/9/2015,1/26/2017,1/23/2017,1/25/2017,14,16,5000000,15,75000000,USD,False,False
Success,,Request,48.2936147,25078,Anchiano Therapeutics,ANCN,NASDAQ,XNAS,Priced,1/7/2019,2/12/2019,2/11/2019,2/12/2019,11.5,11.5,2652174,11.5,30500001,USD,False,False
Success,,Request,48.2936147,12950,Anchor BanCorp Wisconsin,ABCW,NASDAQ,XNAS,Priced,12/19/2013,10/22/2014,10/20/2014,10/21/2014,25,27,371959,26,9670934,USD,False,False
Success,,Request,48.2936147,19445,Andina Acquisition Corp II,ANDAU,NASDAQ,XNAS,Priced,9/18/2015,11/25/2015,11/23/2015,11/24/2015,10,10,4000000,10,40000000,USD,False,True
Success,,Request,48.2936147,11359,Andina Acquisition Corp.,ANDAU,NASDAQ,XNAS,Priced,11/18/2011,3/19/2012,,3/16/2012,10,10,4000000,10,40000000,USD,True,True
Success,,Request,48.2936147,25007,Andina Acquisition III,ANDAU,NASDAQ,XNAS,Priced,11/26/2018,1/29/2019,1/28/2019,1/28/2019,10,10,10000000,10,100000000,USD,False,True
Success,,Request,48.2936147,13047,Angion Biomedica,ANGN,NASDAQ,XNAS,Withdrawn,4/14/2014,,,,10,12,,,30000003,USD,False,False
Success,,Request,48.2936147,11274,Annie's,BNNY,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Priced,12/1/2011,3/28/2012,3/26/2012,3/27/2012,16,18,5000000,19,95000000,USD,False,False
Success,,Request,48.2936147,14984,Anterios,ANTE,NASDAQ,XNAS,Postponed,3/31/2015,,,,12,14,,,50700000,USD,False,False
Success,,Request,48.2936147,21391,Antero Midstream GP LP,AMGP,"New York Stock Exchange, Inc.",XNYS,Priced,3/28/2017,5/4/2017,5/1/2017,5/3/2017,22,25,37250000,23.5,875375000,USD,False,False
Success,,Request,48.2936147,12816,Antero Midstream Partners LP,AM,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Priced,2/7/2014,11/5/2014,11/3/2014,11/4/2014,19,21,40000000,25,1000000000,USD,False,False
Success,,Request,48.2936147,12337,Antero Resources,AR,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Priced,6/13/2013,10/10/2013,10/7/2013,10/9/2013,38,42,35725000,44,1571900000,USD,False,False
Success,,Request,48.2936147,22864,Apellis Pharmaceuticals,APLS,NASDAQ,XNAS,Priced,10/13/2017,11/9/2017,11/6/2017,11/8/2017,13,15,10714000,14,149996000,USD,False,False
Success,,Request,48.2936147,19494,Apellis Pharmaceuticals,APLS,NASDAQ,XNAS,Active,10/13/2017,,,,,,,,,USD,,False
Success,,Request,48.2936147,14945,Apigee,APIC,NASDAQ,XNAS,Priced,3/20/2015,4/24/2015,4/20/2015,4/23/2015,16,18,5115000,17,86955000,USD,False,False
Success,,Request,48.2936147,21240,AppDynamics,APPD,NASDAQ,XNAS,Acquired,12/28/2016,,,,12,14,,,156000000,USD,False,False
